	cls	score	score_best
816	-1	0.0002408079875215596	0.0002408079875215596
assisted	-1	0.00024051839353032067	0.00024051839353032067
763051	-1	0.00024027981888091263	0.00024027981888091263
as14	-1	0.00024021604187726754	0.00024021604187726754
7b	-1	0.00023994752700412487	0.00023994752700412487
117	-1	0.0002398614709873348	0.0002398614709873348
116	-1	0.00023915165625421165	0.00023915165625421165
applicable	-1	0.00023888149869944782	0.00023888149869944782
1230	-1	0.00023872268402934282	0.00023872268402934282
1420	-1	0.00023857512922541955	0.00023857512922541955
alternating	-1	0.0002381356202156188	0.0002381356202156188
10mm	-1	0.00023807402859704095	0.00023807402859704095
acceptable	-1	0.00023787189130007795	0.00023787189130007795
cushion	-1	0.00023762927090671243	0.00023762927090671243
cutch	-1	0.00023704640839860737	0.00023704640839860737
cutter	-1	0.0002370128157211725	0.0002370128157211725
0815	-1	0.00023699883541769152	0.00023699883541769152
accommodate	-1	0.0002368848896545374	0.0002368848896545374
0615	-1	0.0002368690524450814	0.0002368690524450814
cs1001	-1	0.0002361120080015173	0.0002361120080015173
daily	-1	0.0002357761420443261	0.0002357761420443261
age	-1	0.0002348381442503571	0.0002348381442503571
date	-1	0.00023452356467821355	0.00023452356467821355
dave	-1	0.00023447606259121537	0.00023447606259121537
dc	-1	0.00023440747372136553	0.00023440747372136553
dead	-1	0.00023420884939974953	0.00023420884939974953
afetr	-1	0.00023387537806695955	0.00023387537806695955
decreased	-1	0.00023373371639754143	0.00023373371639754143
dampeners	-1	0.00023343536123783125	0.00023343536123783125
920	-1	0.00023335470912358664	0.00023335470912358664
acc	-1	0.00023329412608840794	0.00023329412608840794
1019	46	0.00023309452438959087	0.00023309452438959087
1015	46	0.00014048572193320775	0.00023309452438959087
1013	46	0.0001403592831375601	0.00023309452438959087
101	46	0.00014031580830163994	0.00023309452438959087
1011	46	0.00013920883476014397	0.00023309452438959087
altered	-1	0.00023298613462753787	0.00023298613462753787
10a	-1	0.00023250447937316515	0.00023250447937316515
1083	-1	0.00023116491243744633	0.00023116491243744633
922	-1	0.00023110517788053108	0.00023110517788053108
allowed	-1	0.0002309365249183638	0.0002309365249183638
cooler	-1	0.0002303454351394223	0.0002303454351394223
106	-1	0.0002301835884458887	0.0002301835884458887
absorber	-1	0.0002299609445678346	0.0002299609445678346
105	-1	0.00022970125548382533	0.00022970125548382533
cousineau	-1	0.0002296994741839061	0.0002296994741839061
ali	-1	0.00022962398898068208	0.00022962398898068208
98	-1	0.000229501680334711	0.000229501680334711
cranked	-1	0.0002294988294542114	0.0002294988294542114
99	-1	0.00022920057774175758	0.00022920057774175758
alarming	-1	0.00022895231259459437	0.00022895231259459437
1030	-1	0.00022865314372433906	0.00022865314372433906
718	-1	0.00022862252969683738	0.00022862252969683738
711	-1	0.00022840857772247905	0.00022840857772247905
chutes	-1	0.00022812089497723228	0.00022812089497723228
burrs	-1	0.0002280641181738427	0.0002280641181738427
30a	-1	0.0002280641181738427	0.0002280641181738427
48	-1	0.0002279698654381292	0.0002279698654381292
c32	-1	0.00022775120619093127	0.00022775120619093127
c7	-1	0.00022724847788116166	0.00022724847788116166
519	-1	0.00022708562596418627	0.00022708562596418627
calibration	-1	0.00022685459253213877	0.00022685459253213877
bladders	-1	0.00022638392412337348	0.00022638392412337348
300501	-1	0.00022634396522419717	0.00022634396522419717
3000	-1	0.00022579065137746108	0.00022579065137746108
camshaft	-1	0.00022577649072021605	0.00022577649072021605
300	-1	0.00022547811573278873	0.00022547811573278873
cap	-1	0.00022520008581023362	0.00022520008581023362
believing	-1	0.00022518375902261725	0.00022518375902261725
2cr	-1	0.00022487074928150786	0.00022487074928150786
bay	-1	0.00022459994046943055	0.00022459994046943055
camera	-1	0.00022445262640630355	0.00022445262640630355
carraige	-1	0.0002243920961194505	0.0002243920961194505
burnishing	-1	0.00022436785968660424	0.00022436785968660424
bulbs	-1	0.00022408436012971166	0.00022408436012971166
40	-1	0.00022407035785393603	0.00022407035785393603
