Original rank,New Tokens,P|S|I|X|R|U (Problem / solution / item / stop-word / redundant / unsure),Preferred label ,Notes
1191,reason,,,
1192,thermostat poc,,,
1193,stat for_72*f,,,
1194,belimo_actuator,,,
1195,stat alarm,P,alarm,
1196,valve poc,,,
1197,too_hot temperature in_bldg,,,
1198,plug,I,,
1199,ceiling_tile,,,
1200,value,,,
1201,b310,,,
1202,-PRON- come,X,,
1203,assist,,,
1204,open_hand valve,,,
1205,diaphram,I,,
1206,stuck_stem,,,
1207,open_hand,,,
1208,gain_access,,,
1209,month,,,
1210,loading_dock,,,
1211,sound_like,,,
1212,balance,,,
1213,stuffy,P,stuffy,
1214,low flow,P,low_flow,
1215,reset_freeze stat alarm,,,
1216,too_cold temperature,,,
1217,p.m.,,,
1218,13,,,
1219,poc_diane,,,
1220,adjust_set point on_computer,,,
1221,adjust damper,S,adjust,
1222,device,,,
1223,action_take replace_diaphrgam,,,
1224,78*f,I,78F,
1225,too_hot replace_diaphragm,,,
1226,calibrate adjust,,,
1227,leak water,P,leak,
1228,bldg_235,,,
1229,100,,,
1230,calibration_of,,,
1231,shaft bearing,,,
1232,guard,,,
1233,1/2,X,,
1234,acu-14,I,acu-14,
1235,control room,I,control_room,
1236,john,S,person,
1237,actuator room,,,
1238,intake,I,,
1239,laboratory,I,,
1240,build_216,,,
1241,last_week,,,
1242,attach,,,
1243,heat_exchanger,,,
1244,cafeteria,I,,
1245,207,,,
1246,b141,,,
1247,auto,,,
1248,current,,,
1249,red_auditorium,,,
1250,outside_air damper,,,
1251,-PRON- okay,X,,
1252,strong,,,
1254,turn -PRON-,,,
1255,humidity set_point,,,
1256,b131,,,
1257,machine,,,
1258,-PRON- need,X,,
1259,prevent,,,
1260,rh,,,
1261,trash,,,
1262,tension_belt,,,
1263,bldg 227,I,227,
1264,poc_mike,,,
1265,point thermostat,,,
1266,temperature find,,,
1267,check water_detection alarm,,,
1268,notify,,,
1269,request check too_hot,,,
1270,extremely cold,P,cold,
1271,action_take complete_per,,,
1272,wing,I,,
1273,system off_line,,,
1274,action_take adjust_set,,,
1275,unit after_power,,,
1276,continue,,,
1277,a16,,,
1278,apc,,,
1279,right,,,
1280,76*f,I,76F,
1281,action_take adjust_set point,,,
1282,screw,I,,
1283,operation aok,,,
1284,load_shedding,,,
1285,room temperature too_warm,,,
1286,noisey,P,noisy,
1287,module,I,,
1288,2 degree,I,2F,
1289,mount,,,
1290,16,,,
1291,supply_duct,,,
1292,randy,S,person,
1293,out_of service,,,
1294,preheat valve,,,
1295,alarm fan_section,,,
1296,freezestat,I,,
1297,fabricate instal,,,
1298,low temperature,P,cold,
1299,operational,,,
1300,unit serve_area,,,
1301,system normal,,,
1302,diaphrgam,I,diaphragm,
1303,build_227,,,
1304,alarm go_off,,,
1305,leak poc,,,
1306,check freeze_stat,,,
1307,action_take complete_per request,,,
1308,request check too_cold,,,
1309,stat adjustment,S,adjust,
1310,work complete,,,
1311,due_to contractor,,,
1312,hood exhaust,,,
1313,poc_chris,,,
1314,phone_message customer,,,
1315,not_work action_take,,,
1316,2nd,I,2nd_floor,
1317,damage,,,
1318,note_false,,,
1319,bearing shaft,,,
1320,grease,I,,
1321,hose,I,,
1322,high_bay,,,
1323,radiator,I,,
1324,temperature control,,,
1325,a321,,,
1326,a143,,,
1327,65*f,I,65F,
1328,draw,,,
1329,calibrate grad,S,calibrate,
1330,60_degree,I,60F,
1331,motor replace,,,
1332,-PRON- replace,X,,
1333,house,I,,
1334,lab temperature,I,temperature,
1335,75*f,I,75F,
1336,disconnect,,,
1337,repair air_line,,,
1338,b121,,,
1339,defusser,I,diffuser,
1340,tank,I,,
1341,ep,,,
1342,start hot,,,
1343,action_take raise_set point,,,
1344,adjust stat set,S,adjust,
1345,adjust_set point for_70*f,,,
1346,replace fan,S,replace,
1347,would_like,,,
1348,start unit verify_operation,,,
1349,too_cold temperature in_bldg,,,
1350,resolve_issue,,,
1351,temperature too_warm in_bldg,,,
1352,actuator verify_proper,,,
1353,second,,,
1354,do_not work,,,
1355,temperture,I,temperature,
1356,point room,,,
1357,make_loud noise,,,
1358,unit down_for pm,,,
1359,pulley belt,,,
1360,67*f,I,67F,
1361,a_lot,X,,
1362,1st_floor,I,,
1363,coordinate_with,,,
1364,detail_description,,,
1365,m_slip detail_description,,,
1366,cold temperature in_bldg,,,
1367,alarm action_take reset_fs,,,
1368,way too_hot,,,
1369,action_take raise_set,,,
1370,selection,,,
1372,portable,,,
1373,ccf,,,
1374,tom,I,person,
1375,load_dock,,,
1376,paper,I,,
1377,meet,,,
1378,number,,,
1379,storeroom,I,,
1380,cause noise,,,
1381,b116,,,
1382,fan belt,I,fan_belt,
1383,warm air,I,warm_air,
1384,the_past,,,
1385,reset_f.s unit,,,
1386,summer,,,
1387,constant,,,
1388,feel,,,
1389,a207,,,
1390,green,,,
1391,hand,,,
1392,pipe_shop replace,,,
1393,c01,,,
1394,replace pulley,S,replace,
1395,come_out vent,,,
1396,wds_alarm,,,
1397,find stat set,,,
1398,knob,I,,
1399,calibrate stat,S,calibrate,
1400,room find,,,
1401,room poc,,,
1402,poc_brian,,,
1403,replace_re heat_diaphragm calibrate_stat,,,
1404,heat_diaphragm calibrate_stat,,,
1405,poc_gail,,,
1406,-PRON- room,X,,
1407,actuator adjust,,,
1408,valve verify_operation,,,
1409,person,I,,
1410,check too_hot temperature,,,
1411,54*f,I,54F,
1412,block,I,,
1413,present_at,,,
1414,code,,,
1415,15,,,
1416,58*f,I,58F,
1417,discharge set_point,,,
1418,2_ea,,,
1419,1_ea,,,
1420,fan verify_operation,,,
1421,warm temperature,P,hot,
1422,later,,,
1423,customer_say -PRON-,,,
1424,hand_valv open valve,,,
1425,belt check_operation,,,
1426,library,I,,
1427,space poc,,,
1428,acu 1,,,
1429,open_door,,,
1430,correct_issue,,,
1431,check exhaust,P,check_request,
1432,request check fume_hood,,,
1433,signal,I,,
1434,server_room,,,
1435,frame,I,,
1436,main air,I,main_air,
1437,correctly,,,
1438,this_morning,,,
1439,return_grill,,,
1440,boiler,I,,
1441,rattle,P,,
1442,repair damper,S,repair,
1443,damper motor,R,,
1444,air_flow room,,,
1445,air compressor,I,air_compressor,
1446,lady room,I,bathroom,
1447,west,,,
1448,miss,,,
1449,24,,,
1450,leak coil,P,leak,
1451,e_wing,,,
1452,2,X,,
1453,hot humid,,,
1454,ductwork,I,duct_work,
1455,deliver,,,
1456,b100,,,
1457,air_dryer,,,
1458,snow,I,,
1459,a132,,,
1460,need adjust,,,
1461,hood_monitor,,,
1462,see_if,,,
1463,note_false asset_list,,,
1464,request check water,,,
1465,remove_old,,,
1466,reset vav_box,,,
1467,adjusted stat,S,adjust,
1468,asset_list,,,
1469,notice,,,
1470,71_degree,I,71F,
1471,adjust_set point thermostat,,,
1472,read_low,,,
1473,replace_diaphragm induction_unit,,,
1474,go_away,,,
1475,supply_grill,,,
1476,all_is,,,
1477,poc_willy,,,
1478,pm perform,,,
1479,set_point for_70*f,,,
1480,portrait_room,,,
1481,serve room,,,
1482,find acu-4,,,
1483,heat_diaphragm adjust,,,
1484,find acu-6,,,
1485,poc_bobby,,,
1486,replace pre_heat,,,
1487,align tension,,,
1488,alarm sound,P,alarm,
1489,clean coil,S,clean,
1490,heater not_work,,,
1491,calibrate adjust stat,,,
1492,57*f,I,57F,
1493,add_heat,,,
1494,visitor_center,,,
1495,ne replace,,,
1496,b105,,,
1497,replace_re heat_diaphragm adjust,,,
1498,check too_cold temperature,,,
1499,2nd_floor,I,,
1500,preventive_maintenance,,,
1501,calibrate_stat verify_operation,,,
1502,replace_diaphragm calibrate_stat check_operation,,,
1503,actuator verify_proper operation,,,
1504,south,,,
1505,low_limit,,,
1506,siemen,,,
1507,unit -PRON-,,,
1508,temperature humidity,,,
1509,effect,,,
1510,exhaust hood,I,exhaust_hood,
1511,vortex,,,
1512,23,,,
1513,humidity control,,,
1514,ahu-6_2,,,
1515,burn_smell,,,
1516,bracket,I,,
1517,valve stem,I,valve,
1518,restart_equipment,,,
1519,a267,,,
1520,piping,I,,
1521,gym,,,
1522,hv,,,
1523,roof_top,,,
1524,damper open,,,
1525,70,,,
1526,60,,,
1527,b126,,,
1528,instrument,I,,
1529,cool_section,,,
1530,b118,,,
1531,check unit find,,,
1532,action_take unit,,,
1533,check_operation unit,,,
1534,80*f,I,80F,
1535,system aok,,,
1536,off_line restart,,,
1537,fume_hood in_bldg,,,
1538,contact customer,S,poc_customer,
1539,alignment,I,,
1540,reset_freezestat,,,
1541,air damper,I,damper,
1542,recalibrat,,,
1543,calibrate_stat verify_proper,,,
1544,b106,,,
1545,electric_shop replace motor,,,
1546,action_take calibrate_stat check_operation,,,
1547,deck,,,
1548,replace fuse,S,replace,
1549,calibrate set,,,
1550,68_degree,I,68F,
1551,restart fan,S,reset,
1552,specification,,,
1553,62*f,I,62F,
1554,72,,,
1555,reset_fault start_equipment,,,
1556,renovate,,,
1557,water_detection sensor,,,
1558,a357,,,
1559,suspect,X,,
1560,b185,,,
1561,resent_code vav,,,
1562,request check air,,,
1563,keep_come,,,
1564,happen,,,
1565,check leak,,,
1566,verify_operation re_heat,,,
1567,poc_kelso,,,
1568,reset controller,S,reset,
1569,heat room,,,
1570,not_able locate,,,
1571,all_is work_well,,,
1572,unit poc,,,
1573,too_warm action_take,,,
1574,b152,,,
1575,aware,,,
1576,a100,,,
1577,unit valve,I,valve,possibly induction
1578,actuator check_operation,,,
1579,point space,,,
1580,poc_bruce,,,
1581,reset system,,,
1582,set_point poc customer,,,
1583,carpet,I,,
1584,drip_ell,,,
1585,all_week,,,
1586,a103,,,
1587,rebuild_actuator,,,
1588,a140,,,
1589,b140,,,
1590,b115,,,
1591,info,,,
1592,water_fountain,,,
1593,vent blow,,,
1594,job,,,
1595,bleed,,,
1596,fan alarm,P,alarm,
1597,op,,,
1598,sheaf,I,,
1599,in_bldg 101,,,
1600,unit room,,,
1601,17,,,
1602,30,,,
1603,bypass,,,
1604,column,,,
1605,b158,,,
1606,room -PRON-,,,
1607,replace break_belt,,,
1608,reset_fault start,,,
1609,air room,,,
1610,ahu-1,I,ahu-1,
1611,joe,I,person,
1612,nist,,,
1613,sign,,,
1614,acu-17,I,acu-17,
1615,programming,,,
1616,think,X,,
1617,replace flex_connection,,,
1618,aml,,,
1619,please_contact,,,
1620,find acu-3,,,
1621,request replace,,,
1622,start hot water_pump,,,
1623,b114,,,
1624,noise go_away,,,
1625,verify_calibration stat,,,
1626,valve actuator calibrate_stat,,,
1627,detect,,,
1628,return normal,,,
1629,very_cold action_take,,,
1630,please_see,,,
1631,temperature normal,,,
1632,adjust calibrate,,,
1633,pm'd,,,
1634,leak from_ceiling,,,
1635,poc_daniel,,,
1636,const_shop,,,
1637,unit after_power bump,,,
1638,issue_resolve,,,
1639,hot lab,P,hot,
1640,office calibrate_stat,,,
1641,hot replace_diaphragm,,,
1642,heat_diaphragm adjust stat,,,
1643,find re_heat,,,
1644,velocity,I,,
1645,ac not_work,,,
1646,exhaust_fan not_work,,,
1647,due_to load_shedding,,,
1648,check discharge,P,check_request,
1649,clear_alarm verify_proper operation,,,
1650,fabricate install,,,
1651,clear_alarm verify_proper,,,
1652,replace_re heat_diaphragm verify_operation,,,
1653,b248,,,
1654,b164,,,
1655,check calibration_of,,,
1656,customer -PRON-_say,,,
1657,wiring,I,,
1658,randy_wixom,,,
1659,heat_diaphragm verify_operation,,,
1660,issue relate,,,
1661,discharge temp,I,temperature,
1662,too_cold find,,,
1663,hot rm,P,hot,
1664,valve adjust stat,,,
1665,action_take check_operation,,,
1666,belt tension,,,
1667,action_take replace fail,,,
1668,remain,,,
1669,make_sure,,,
1670,experiment,,,
1671,water reset_alarm,,,
1672,stroke,,,
1673,glycol,I,,
1674,a310,,,
1675,a705,,,
1676,guide_hall,,,
1677,mod,,,
1678,result,,,
1679,motor_sheave,,,
1680,b109,,,
1681,booster unit,I,booster_unit,
1682,b123,,,
1683,s room,,,
1684,union,,,
1685,belt pulley,,,
1686,manual,,,
1687,b324,,,
1688,insulate,S,,
1689,dielectric,I,,
1690,a145,,,
1691,replace 3,S,replace,
1692,repair leak valve,,,
1693,let_-PRON-,,,
1694,extension,I,,
1695,several_time,,,
1696,alarm due_to,,,
1697,store room,I,store_room,
1698,on_monday,,,
1699,after_furniture,,,
1700,acu_c1,,,
1701,50%,,,
1702,c100,,,
1703,b339,,,
1704,wind_tunnel,,,
1705,shop_30,,,
1706,r.,,,
1707,heat not_work,,,
1708,too_cold replace,,,
1709,check warm,P,hot,
1710,water come_from,,,
1711,belt_align,,,
1712,suppose,,,
1713,adjust_thermostat set_point poc,,,
1714,stat repair,,,
1715,control_valve check_operation,,,
1716,check -PRON-,,,
1717,a107,,,
1718,poc_joseph,,,
1719,adjust room temperature,S,adjust,
1720,hot replace,,,
1721,adjust t_stat,,,
1722,humidty high,,,
1723,a150,,,
1724,sheet_metal shop,,,
1725,change belt,P,bad,
1726,71*f poc,I,71F,
1727,action_take clean,,,
1728,stat out_of,,,
1729,down_for renovation,,,
1730,control_valve actuator,,,
1731,unit check,,,
1732,set 70_degree,,,
1733,908_controller,I,controller,
1734,fan check_operation,,,
1735,lack_of,,,
1736,very_cold calibrate_stat,,,
1737,safety_office,,,
1738,system run,,,
1739,building_manager,,,
1740,leak attic,,,
1741,adjusted thermostat,S,adjust,
1742,serve_this,,,
1743,restart unit after_power,,,
1744,confirm operation aok,,,
1745,poc_jame,,,
1746,check area find,,,
1747,calibrate_stat verify_proper operation,,,
1748,stat setting,I,set_point,
1749,raise temp,,,
1750,too_hot find,,,
1751,bldg 222,,,
1752,come_from vent,,,
1753,office too_warm,,,
1754,unit make_noise,,,
1755,alarm check,,,
1756,hood read_low,,,
1757,no_answer,,,
1758,acu-,I,air_conditioning_unit,
1759,leave_customer message,,,
1760,present_at this_time,,,
1761,very_warm in_bldg,,,
1762,turn_over ddc,,,
1763,hot calibrate_stat,,,
1764,hour,,,
1765,air_volume,,,
1766,air supply,,,
1767,advise,,,
1768,vibrate,I,vibration,
1769,purchase,,,
1770,weld,,,
1771,men,,,
1772,condenser,I,,
1773,belimo,,,
1774,a109,,,
1775,203,,,
1776,change filter,S,replace,
1777,a127,,,
1778,b150,,,
1779,bldg 224,,,
1780,supply return,,,
1781,acu-19,I,acu-19,
1782,a262,,,
1783,alarm present,P,alarm,
1784,entrance,I,,
1785,too_cold adjust,,,
1786,e_fan,,,
1787,informed,,,
1788,change diaphragm,S,replace,
1789,room_temperature- too_cold,,,
1790,talk_with,,,
1791,replace belt check_operation,,,
1792,check hood,P,check_request,
1793,confirm_proper operation,,,
1794,room action_take,,,
1795,alarm alarm,,,
1796,bring,,,
1797,find hand_valv open,,,
1798,too_cold raise_set,,,
1799,valve verify_proper,,,
1800,too_cold raise_set point,,,
1801,check office,P,check_request,
1802,adjust freeze_stat,,,
1803,occur,,,
1804,poc_susan,,,
1805,rise,,,
1806,office in_bldg,,,
1807,poc_lisa,,,
1808,for_70*f poc customer,,,
1809,respond,,,
1810,a_c action_take,X,,
1811,reset_alarm start unit,,,
1812,replace_sleeve,,,
1813,very_cold calibrate_stat check_operation,,,
1814,discharge high,P,discharge_high,
1815,repair complete,,,
1816,replace with_new,,,
1817,probably,,,
1818,request check warm,,,
1819,calibrate_stat set for_72*f,,,
1820,sensor reset_alarm,,,
1821,zone_2,,,
1822,blast,,,
1823,director,I,,
1824,induction_unit calibrate_stat,,,
1825,acu-1 2,,,
1826,confirm_calibration,,,
1827,action_take instal,,,
1828,install_new,,,
1829,hasn't,,,
1830,poc_melissa,,,
1831,-PRON- work,X,,
1832,replace_diaphragm actuator,,,
1833,two_induction,,,
1834,tell,,,
1835,two_induction unit,,,
1836,back_into,,,
1837,air blow_out,,,
1838,converter,I,,
1839,regulator,I,,
1840,probe,I,,
1841,ahu-6_1,,,
1842,roll_filter,,,
1843,build_215,,,
1844,b143,,,
1845,half,,,
1846,spring,I,,
1847,b05,,,
1848,drive_issue,,,
1849,red,,,
1850,e-4,,,
1851,humidity_pot,,,
1852,b217,,,
1853,lose,P,loose,
1854,storage,,,
1855,valve repair,,,
1856,occupant,,,
1857,door_open,,,
1858,cool_mode,,,
1859,freeze_stat alarm come,,,
1860,22,,,
1861,acu 3,,,
1862,a155,,,
1863,unit leak,P,leak,
1864,lock_out,,,
1865,fluctuate,P,,
1866,fitting,I,,
1867,clean vent,,,
1868,room temp_ok,,,
1869,space control,,,
1870,find problem,,,
1871,reset_alarm start system,,,
1872,freeze_stat reset_alarm,,,
1873,operation check,,,
1874,a161,,,
1875,temperature high,,,
1876,rest room,S,reset,
1877,heat action_take,,,
1878,920b_controller,I,controller,
1879,thermostat poc customer,,,
1880,control_valve calibrate_stat,,,
1881,crack,,,
1882,112,,,
1883,little,,,
1884,lab cold,,,
1885,sensor clear_alarm,,,
1886,room very_cold,,,
1887,action_take calibrate thermostat,,,
1888,stem valve,,,
1889,ofpm,,,
1890,air system,,,
1891,temperature office,,,
1892,any_question,,,
1893,control set_point,,,
1894,a156,,,
1895,room_temperature- too_cold in_bldg,,,
1896,construction,,,
1897,temperature very_warm,,,
1898,ph_message,,,
1899,lower_set point check_operation,,,
1900,point for_70*f poc,,,
1901,know_that,,,
1902,stuck,P,,
1903,b120,,,
1904,customer poc,,,
1905,discharge unit,,,
1906,poc_dawn,,,
1907,filter change,S,replace,
1908,induction_unit valve calibrate_stat,,,
1909,poc_laurean,,,
1910,reset_f.s unit restart,,,
1911,stat check,P,check_request,
1912,25,,,
1913,replace -PRON-,,,
1914,leak control_valve,,,
1915,order replace,,,
1916,a355,,,
1917,customer room,,,
1918,unit service,,,
1919,induction_unit thermostat,,,
1920,induction_unit poc,,,
1921,moisture,I,,
1922,freon,I,,
1923,a170,,,
1924,acid,,,
1925,e-2,,,
1926,face,,,
1927,b145,,,
1928,a245,,,
1929,b127,,,
1930,smoke,P,,
1931,tile,,,
1932,minute,,,
1933,2014,X,,
1934,replace shaft,S,replace,
1935,heather,I,person,
1936,kathy,I,person,
1937,will_not reset,,,
1938,a130,,,
1939,corner,,,
1940,replace freeze_stat,,,
1941,trouble alarm,P,alarm,
1942,fresh_air,,,
1943,restart system,,,
1944,check alarm,P,alarm,
1945,identify,,,
1946,conference,,,
1947,freezing,P,cold,
1948,readjust,S,adjust,
1949,system -PRON-,,,
1950,credit_union,,,
1951,1 2,X,,
1952,a151,,,
1953,a02,,,
1954,a352,,,
1955,at_72,,,
1956,111,,,
1957,packing,,,
1958,restore_communication,,,
1959,chilled_water coil,,,
1960,repair broken,S,repair,
1961,create,,,
1962,as_soon,,,
1963,a146,,,
1964,very_humid,,,
1965,air come_out vent,,,
1966,from_old,,,
1967,by_ddc group,,,
1968,poc cole,,,
1969,belt unit,,,
1970,acu_7,,,
1971,area action_take,,,
1972,damper set_point,,,
1973,appear_that,,,
1974,room set_point,,,
1975,thermostat calibrate,,,
1976,recently,,,
1977,release,,,
1978,-PRON- check,X,,
1979,c33,,,
1980,leak adjust,,,
1981,clean filter,S,clean,
1982,check fan,P,check_request,
1983,adjust stat verify_proper,,,
1984,poc_janet,,,
1985,system operation,,,
1986,alarm clear_alarm,,,
1987,mike,S,person,
1988,b68,,,
1989,that_serve area,,,
1990,clear_clog,,,
1991,return fan,I,return_fan,
1992,b108,,,
1993,b111,,,
1994,too_cold make_adjustment,,,
1995,duplicate_m,,,
1996,no_other issue,,,
1997,valve replace_diaphragm,,,
1998,fan not_work,,,
1999,action_take find room,,,
2000,reset fan,S,reset,
2001,find hood,,,
2002,check noise_come,,,
2003,set for_70*f poc,,,
2004,alarm reset_alarm start,,,
2005,area poc,,,
2006,leave_customer phone_message,,,
2007,2nd_fl,I,2nd_floor,
2008,replace_sleeve diaphragm,,,
2009,a_couple,X,,
2010,hand_position,,,
2011,check valve,P,check_request,
2012,direction,,,
2013,water_present reset_alarm,,,
2014,valve verify_proper operation,,,
2015,very_cold office,,,
2016,in_bldg 235,,,
2017,come_from ceiling,,,
2018,another_ms,,,
2019,acu-16,I,acu-16,
2020,bldg 301,,,
2021,stat out_of calibration,,,
2022,freeze_stat reset,,,
2023,action_take find system,,,
2024,action_take lower_discharge,,,
2025,offline,P,,
2026,acu unit,I,air_conditioning_unit,
2027,poc_thoma,,,
2028,b328,,,
2029,point verify_proper operation,,,
2030,set_point verify_proper,,,
2031,point verify_proper,,,
2032,set_point verify_proper operation,,,
2033,air leak poc,,,
2034,zone_4,,,
2035,calibrate_stat check,,,
2036,induction_unit valve check_operation,,,
2037,damper_close,,,
2038,action_take remove,,,
2039,condensor,I,,
2040,down_for p.m.,,,
2041,loud_noise come_from,,,
2042,no_other problem,,,
2043,induction_unit valve actuator,,,
2044,will_monitor,,,
2045,replace stat calibrate,,,
2046,air in_bldg,,,
2047,come clear,,,
2048,b350,,,
2049,b168,,,
2050,battery,I,,
2051,fpm,,,
2052,bolt,I,,
2053,e-9,,,
2054,a183,,,
2055,pre_heat coil,,,
2056,excessive,,,
2057,display,I,,
2058,b254,,,
2059,vibration_reading,,,
2060,datum_logger,,,
2061,tag_out,,,
2062,e-3,,,
2063,sit,,,
2064,re_heat coil,,,
2065,b119,,,
2066,evaporator,I,,
2067,ef-3,,,
2068,hepa_filter,,,
2069,connect,I,,
2070,monday,,,
2071,mep,,,
2072,go_into,,,
2073,b255,,,
2074,b365,,,
2075,jeff,I,person,
2076,discharge temperature,R,,
2077,grad re_heat,,,
2078,b104,,,
2079,belt_guard,,,
2080,joc,,,
2081,a353,,,
2082,issue resolve,S,fixed,
2083,temp 70_degree,,,
2084,unit off_due,,,
2085,74_degree,I,74F,
2086,perform work,,,
2087,replace faulty,S,replace,
2088,find acu,,,
2089,b128,,,
2090,duct_sensor,,,
2091,70*f poc,I,70F,
2092,repair stuck_stem,,,
2093,vav_'s,,,
2094,start verify_operation,,,
2095,vav_,,,
2096,check freeze_stat alarm,,,
2097,55*f,I,55F,
2098,room replace,,,
2099,110,,,
2100,poc mr,,,
2101,customer_write,,,
2102,fail belt,P,failure,
2103,gas,,,
2104,electric_shop repair,,,
2105,temperature 71*f,,,
2106,middle,I,,
2107,pump_off,,,
2108,read_low velocity,,,
2109,put_back,,,
2110,hood read_low velocity,,,
2111,actuator adjust stat,,,
2112,tstat_all,,,
2113,leak come_from,,,
2114,office calibrate_stat check_operation,,,
2115,leak action_take,,,
2116,action_take replace induction_unit,,,
2117,alarm replace,,,
2118,damper door,I,damper_door,
2119,base,,,
2120,email,,,
2121,a147,,,
2122,acu discharge,I,discharge,
2123,water system,,,
2124,power_bump restart,,,
2125,find off_line,,,
2126,very_cold room,,,
2127,air_flow set_point,,,
2128,possibly,,,
2129,prior,,,
2130,a224,,,
2131,check belt,P,check_request,
2132,b08,,,
2133,replace water_detection,,,
2134,find air,,,
2135,replace control,S,replace,
2136,action_take room,,,
2137,action_take reset_alarm,,,
2138,90_degree,I,90F,
2139,order_new,,,
2140,b20,,,
2141,hot cold,,,
2142,stat set_point for_70*f,,,
2143,up_water,,,
2144,start fan verify_operation,,,
2145,checked,S,check,
2146,purge,,,
2147,hwc-2,,,
2148,clean sensor,S,clean,
2149,customer equipment,,,
2150,30%,,,
2151,alarm unit,,,
2152,150,,,
2153,office -PRON-,,,
2154,please_investigate,,,
2155,acu 2,I,acu-2,
2156,set temp,S,adjust,
2157,water_detect,,,
2158,reset_breaker,,,
2159,a330,,,
2160,bldg 226,,,
2161,long,,,
2162,at_ext,,,
2163,find poc,,,
2164,leak replace,,,
2165,accord,,,
2166,auto_mode,,,
2167,p,,,
2168,air_intake,,,
2169,100%,X,,
2170,ensure,,,
2171,honeywell,,,
2172,ef-6,,,
2173,preheat_section,,,
2174,repack,,,
2175,replace shaft bearing,,,
2176,b147,,,
2177,baseboard,I,,
2178,ladder,,,
2179,west_end,,,
2180,72f,I,72F,
2181,a101,,,
2182,damper_linkage,,,
2183,speed,I,,
2184,acu_b5,,,
2185,removal,,,
2186,room b,,,
2187,per_f,,,
2188,operate_properly,,,
2189,shift_supervisor,,,
2190,per_f.,,,
2191,b200,,,
2192,bearing replace,,,
2193,tech,I,person,
2194,control_valve leaking,,,
2195,106,,,
2196,ask,,,
2197,type,,,
2198,failure_alarm,,,
2199,b110,,,
2200,head,I,,
2201,east,I,,
2202,as_possible,,,
2203,109,,,
2204,no_other problem find,,,
2205,action_take confirm,,,
2206,cool air,I,cold_air,
2207,work -PRON-,,,
2208,start exhaust_fan,,,
2209,stat verify_operation poc,,,
2210,operation system,,,
2211,second_floor,,,
2212,normal poc,,,
2213,check with_customer,,,
2214,117,,,
2215,air leak adjust,,,
2216,belt_align tension,,,
2217,remove_pulley,,,
2218,poc kevin,,,
2219,for_maintenance,,,
2220,73_degree,I,73F,
2221,reset_fs ok,,,
2222,lecture_room b,,,
2223,room control,,,
2224,filter replace,,,
2225,a324,,,
2226,flow alarm,P,alarm,
2227,air office,,,
2228,calibrate_stat set for_70*f,,,
2229,speak_with customer -PRON-,,,
2230,repair adjust,,,
2231,acu not_work,,,
2232,2*f,I,2F,
2233,humidity sensor,I,humidity_sensor,
2234,unit not_work,,,
2235,temp_72,,,
2236,space_temperature 71*f,,,
2237,verify space_temperature,,,
2238,humidity low,,,
2239,check_operation system,,,
2240,room temperature find,,,
2241,b204,,,
2242,verify discharge,P,check_request,
2243,request poc,,,
2244,space_temperature 72*f,,,
2245,check noise,P,check_request,
2246,adjust repair,,,
2247,check warm temperature,P,hot,
2248,b.,,,
2249,replace_diaphragm reheat,,,
2250,actuator induction_unit,,,
2251,check room_temperature- too_cold,,,
2252,lower_discharge set_point,,,
2253,ok at_this,,,
2254,b252,,,
2255,paint,I,,
2256,adjust humidity,,,
2257,check room temp,P,check_request,
2258,per_frank,,,
2259,thermostat set_point,,,
2260,customer_want,,,
2261,ea,,,each
2262,find alarm,,,
2263,second_request,,,
2264,water leak from_ceiling,,,
2265,ok at_this time,,,
2266,thermostat room,,,
2267,heat unit,I,heat_unit,
2268,18,,,
2269,valve room,,,
2270,room air,I,air,
2271,maybe,,,
2272,check acu,P,check_request,
2273,repair water,S,repair,
2274,room set,,,
2275,cold calibrate_stat,,,
2276,poc_nancy,,,
2277,reach,,,
2278,unit verify_proper,,,
2279,shop_30 find,,,
2280,stat adjust_set,,,
2281,poc_george,,,
2282,valve actuator verify_operation,,,
2283,request adjust room,,,
2284,temperature very_warm in_bldg,,,
2285,resolve_by,,,
2286,turn a_c,,,
2287,unit verify_proper operation,,,
2288,too_warm calibrate_stat,,,
2289,raise temperature,S,adjust,
2290,motor instal,,,
2291,find damper,,,
2292,30_action find control_valve,,,
2293,room in_bldg,,,
2294,let_customer,,,
2295,debris,I,,
2296,actually,,,
2297,oil,I,,
2298,a144,,,
2299,e-10,,,
2300,ice_maker,,,
2301,heat pump,I,heat_pump,
2302,b246,,,
2303,b033,,,
2304,b102,,,
2305,carry_over,,,
2306,-PRON- hot,X,,
2307,bay,,,
2308,b363,,,
2309,a158,,,
2310,rattle_noise,,,
2311,check exhaust_fan,,,
2312,floor_drain water_detector,,,
2313,safe,,,
2314,sharon,I,person,
2315,fan bearing,I,fan_bearing,
2316,attempt,,,
2317,thermo,I,thermostat,
2318,drain line,I,drain_line,
2319,1/4,X,,
2320,high temp,P,hot,
2321,from_old motor,,,
2322,mechanical,,,
2323,catch,,,
2324,rick,I,person,
2325,rotation,I,,
2326,. potts,X,,
2327,per_f. potts,,,
2328,thursday,,,
2329,stay,,,
2330,please_fix,,,
2331,ulf,,,
2332,shut,U,,
2333,a141,,,
2334,acu_e2,,,
2335,coil repair,,,
2336,record,,,
2337,humidifier,I,,
2338,slow,,,
2339,unit serve,,,
2340,blow air,,,
2341,night,,,
2342,check high,P,check_request,
2343,check a_c,,,
2344,too_hot adjust,,,
